"id","Geographic Area Name","total_pop","65_years_and_older_prop","20_to_54_years_prop","high_school_or_higher_prop","median_income_12_months","prop_minority","percent_civilian_pop_with_health_insurance"
"1400000US06001400100","Census Tract 4001, Alameda County, California",3120,0.260576923076923,0.342628205128205,0.786217948717949,105093,0.0721153846153846,99.4
"1400000US06001400200","Census Tract 4002, Alameda County, California",2007,0.232187344294968,0.48729446935725,0.800199302441455,96797,0.112605879422023,98.6
"1400000US06001400300","Census Tract 4003, Alameda County, California",5051,0.155414769352603,0.576915462284696,0.781231439318947,78107,0.160364284300139,99.7
"1400000US06001400400","Census Tract 4004, Alameda County, California",4007,0.118292987272274,0.59520838532568,0.760668829548291,72275,0.18742201147991,97.1
"1400000US06001400500","Census Tract 4005, Alameda County, California",4124,0.0892337536372454,0.705868089233754,0.809650824442289,58013,0.308438409311348,96.6
"1400000US06001400600","Census Tract 4006, Alameda County, California",1745,0.0859598853868195,0.675644699140401,0.782808022922636,63589,0.280229226361032,95.7
"1400000US06001400700","Census Tract 4007, Alameda County, California",5128,0.0992589703588144,0.642550702028081,0.77905616224649,45491,0.476209048361934,89.5
"1400000US06001400800","Census Tract 4008, Alameda County, California",4069,0.0943720815925289,0.648316539690342,0.749569918898992,53250,0.338903907594003,94.9
"1400000US06001400900","Census Tract 4009, Alameda County, California",2471,0.0902468636179684,0.614730878186969,0.712262242007284,47609,0.445973290165925,95.3
"1400000US06001401000","Census Tract 4010, Alameda County, California",6133,0.094244252405022,0.661992499592369,0.688406978640143,50504,0.490787542801239,92.9
"1400000US06001401100","Census Tract 4011, Alameda County, California",4287,0.0648472125029158,0.75530674131094,0.81035689293212,55385,0.184977839981339,90.1
"1400000US06001401200","Census Tract 4012, Alameda County, California",2619,0.0897289041618939,0.668193967163039,0.809087437953417,59552,0.234440626193204,95.9
"1400000US06001401300","Census Tract 4013, Alameda County, California",3921,0.141800561081357,0.654679928589646,0.787809232338689,47465,0.386381025248661,94.2
"1400000US06001401400","Census Tract 4014, Alameda County, California",4732,0.0737531699070161,0.667371090448014,0.680684699915469,34955,0.50887573964497,87.8
"1400000US06001401500","Census Tract 4015, Alameda County, California",2839,0.10743219443466,0.642479746389574,0.782317717506164,43417,0.514617823177175,92.7
"1400000US06001401600","Census Tract 4016, Alameda County, California",2289,0.0515508955875928,0.669287898645697,0.708169506334644,47593,0.559633027522936,87.7
"1400000US06001401700","Census Tract 4017, Alameda County, California",3018,0.0772034459907223,0.696487740225315,0.778992710404241,57026,0.436713055003313,92
"1400000US06001401800","Census Tract 4018, Alameda County, California",1801,0.0899500277623543,0.635202665186008,0.724042198778456,41190,0.584675180455303,88.6
"1400000US06001402200","Census Tract 4022, Alameda County, California",2477,0.0940654016955995,0.564392410173597,0.660476382721033,47807,0.480016148566815,92.5
"1400000US06001402400","Census Tract 4024, Alameda County, California",2866,0.165736217725052,0.625261688764829,0.716329378925331,43548,0.575366364270761,88.8
"1400000US06001402500","Census Tract 4025, Alameda County, California",1781,0.0976979225154408,0.526670409882089,0.587310499719259,27000,0.731611454239191,95.2
"1400000US06001402600","Census Tract 4026, Alameda County, California",1243,0.256637168141593,0.464199517296862,0.636363636363636,38056,0.423974255832663,91.1
"1400000US06001402700","Census Tract 4027, Alameda County, California",1890,0.0767195767195767,0.600529100529101,0.691534391534392,48425,0.628571428571429,91.8
"1400000US06001402800","Census Tract 4028, Alameda County, California",4480,0.191517857142857,0.6671875,0.779910714285714,62689,0.443526785714286,93.8
"1400000US06001402900","Census Tract 4029, Alameda County, California",1406,0.281650071123755,0.571834992887625,0.708392603129445,42740,0.347795163584637,92
"1400000US06001403000","Census Tract 4030, Alameda County, California",2905,0.394836488812392,0.393459552495697,0.566953528399312,32230,0.0664371772805508,96.9
"1400000US06001403100","Census Tract 4031, Alameda County, California",2101,0.121370775821038,0.673488814850071,0.747263207996192,62593,0.306996668253213,95.3
"1400000US06001403300","Census Tract 4033, Alameda County, California",4178,0.207036859741503,0.586883676400191,0.707994255624701,55893,0.134992819530876,96.9
"1400000US06001403400","Census Tract 4034, Alameda County, California",4340,0.210829493087558,0.62258064516129,0.835483870967742,61298,0.273271889400922,91.8
"1400000US06001403501","Census Tract 4035.01, Alameda County, California",4492,0.174755120213713,0.609750667853963,0.827693677649154,53125,0.36153161175423,96.2
"1400000US06001403502","Census Tract 4035.02, Alameda County, California",2044,0.13160469667319,0.701076320939335,0.833170254403131,57443,0.373776908023483,91.1
"1400000US06001403600","Census Tract 4036, Alameda County, California",5570,0.101077199281867,0.687971274685817,0.790305206463196,46957,0.551526032315978,95.1
"1400000US06001403701","Census Tract 4037.01, Alameda County, California",2968,0.185646900269542,0.628369272237197,0.880727762803235,57981,0.389487870619946,91.9
"1400000US06001403702","Census Tract 4037.02, Alameda County, California",1930,0.167875647668394,0.671502590673575,0.875647668393782,71827,0.248186528497409,98.8
"1400000US06001403800","Census Tract 4038, Alameda County, California",3351,0.13369143539242,0.632646971053417,0.849298716800955,71928,0.165622202327663,96.8
"1400000US06001403900","Census Tract 4039, Alameda County, California",4051,0.161688471982227,0.589977783263392,0.813379412490743,63314,0.209824734633424,97.1
"1400000US06001404000","Census Tract 4040, Alameda County, California",2895,0.117789291882556,0.641796200345423,0.863212435233161,61250,0.236614853195164,96.7
"1400000US06001404101","Census Tract 4041.01, Alameda County, California",3017,0.166721909181306,0.593304607225721,0.864766324163076,76168,0.148823334438184,98.6
"1400000US06001404102","Census Tract 4041.02, Alameda County, California",2653,0.328684508104033,0.498303807010931,0.85638899359216,72167,0.145872597059932,97.7
"1400000US06001404200","Census Tract 4042, Alameda County, California",3877,0.178230590662884,0.363425328862523,0.700541655919525,123854,0.119164302295589,98.5
"1400000US06001404300","Census Tract 4043, Alameda County, California",3443,0.200116177751961,0.417078129538193,0.741214057507987,116129,0.136508858553587,99.6
"1400000US06001404400","Census Tract 4044, Alameda County, California",5628,0.190653873489694,0.416133617626155,0.758706467661692,91540,0.0764036958066809,99.8
"1400000US06001404501","Census Tract 4045.01, Alameda County, California",1809,0.210060807075732,0.368159203980099,0.715312327252626,118098,0.134328358208955,97
"1400000US06001404502","Census Tract 4045.02, Alameda County, California",5891,0.177389237820404,0.458156509930402,0.759463588524868,111172,0.0875912408759124,98.1
"1400000US06001404600","Census Tract 4046, Alameda County, California",4625,0.242378378378378,0.362594594594595,0.796972972972973,100181,0.0867027027027027,96.2
"1400000US06001404700","Census Tract 4047, Alameda County, California",2137,0.191857744501638,0.40992044922789,0.773514272344408,100729,0.154422087037904,97.9
"1400000US06001404800","Census Tract 4048, Alameda County, California",2647,0.160181337363053,0.461276917264828,0.703437854174537,64113,0.304117869285984,98.3
"1400000US06001404900","Census Tract 4049, Alameda County, California",4197,0.195615916130569,0.42935430069097,0.748391708363117,74150,0.214438884917798,94.3
"1400000US06001405000","Census Tract 4050, Alameda County, California",3394,0.198585739540365,0.502062463170301,0.768120212139069,92202,0.191219799646435,99.5
"1400000US06001405100","Census Tract 4051, Alameda County, California",4285,0.209568261376896,0.424037339556593,0.762193698949825,100602,0.169894982497083,99.8
"1400000US06001405200","Census Tract 4052, Alameda County, California",5183,0.144510901022574,0.62589234034343,0.819409608334941,59410,0.248311788539456,96.4
"1400000US06001405301","Census Tract 4053.01, Alameda County, California",2954,0.119498984427894,0.691943127962085,0.84529451591063,61603,0.297562626946513,93.2
"1400000US06001405302","Census Tract 4053.02, Alameda County, California",2373,0.182469447956174,0.591234723978087,0.707964601769911,43455,0.209018120522545,91.6
"1400000US06001405401","Census Tract 4054.01, Alameda County, California",3648,0.112664473684211,0.637335526315789,0.663377192982456,32108,0.388157894736842,92
"1400000US06001405402","Census Tract 4054.02, Alameda County, California",3357,0.0732797140303843,0.560023830801311,0.602025618111409,32252,0.468573130771522,94.6
